full_name_no_commas,email,title,portfolio_link,picture_file_name
George Washington ,george.washington@gmail.com,Assistant Professor,https://www.linkedin.com/georgewashington,01_george_washington.jpg
John Adams ,john.adams@gmail.com,Assistant Professor,https://www.linkedin.com/johnadams,02_john_adams.jpg
Thomas Jefferson ,thomas.jefferson@gmail.com,Assistant Professor,https://www.linkedin.com/thomasjefferson,03_thomas_jefferson.jpg
James Madison ,james.madison@gmail.com,Adjunct Professor,https://www.linkedin.com/jamesmadison,04_james_madison.jpg
James Monroe ,james.monroe@gmail.com,Professor,https://www.linkedin.com/jamesmonroe,05_james_monroe.jpg
John Quincy Adams,john.quincy@gmail.com,Senior Lecturer,https://www.linkedin.com/johnquincyadams,06_john_quincy_adams.jpg
Andrew Jackson ,andrew.jackson@gmail.com,Adjunct Professor,https://www.linkedin.com/andrewjackson,07_andrew_jackson.jpg
Martin Van Buren,martin.van@gmail.com,Associate Professor,https://www.linkedin.com/martinvanburen,08_martin_van_buren.jpg
William Henry Harrison,william.henry@gmail.com,Adjunct Professor,https://www.linkedin.com/williamhenryharrison,09_william_henry_harrison.jpg
John Tyler ,john.tyler@gmail.com,Adjunct Professor,https://www.linkedin.com/johntyler,10_john_tyler.jpg
James K Polk,james.k@gmail.com,Professor,https://www.linkedin.com/jameskpolk,11_james_k_polk.jpg
Zachary Taylor ,zachary.taylor@gmail.com,Assistant Professor,https://www.linkedin.com/zacharytaylor,12_zachary_taylor.jpg
Millard Filmore ,millard.filmore@gmail.com,Assistant Professor,https://www.linkedin.com/millardfilmore,13_millard_filmore.jpg
Franklin Pierce ,franklin.pierce@gmail.com,Assistant Professor,https://www.linkedin.com/franklinpierce,14_franklin_pierce.jpg
James Buchanan ,james.buchanan@gmail.com,Senior Lecturer,https://www.linkedin.com/jamesbuchanan,15_james_buchanan.jpg
