full_name_no_commas,email,advisor,portfolio_link,picture_file_name
Herbert Hoover ,herbert.hoover@gmail.com,Dr. Alexander Harper,https://www.linkedin.com/herberthoover,31_herbert_hoover.jpg
Franklin D Roosevelt,franklin.d@gmail.com,Dr. Liam Olivia,https://www.linkedin.com/franklindroosevelt,32_franklin_d_roosevelt.jpg
Harry S Truman,harry.s@gmail.com,Dr. Noah Emma,https://www.linkedin.com/harrystruman,33_harry_s_truman.jpg
Dwight D Eisenhower,dwight.d@gmail.com,Dr. Oliver Ava,https://www.linkedin.com/dwightdeisenhower,34_dwight_d_eisenhower.jpg
John F Kennedy,john.f@gmail.com,Dr. Elijah Charlotte,https://www.linkedin.com/johnfkennedy,35_john_f_kennedy.jpg
Lyndon Johnson ,lyndon.johnson@gmail.com,Dr. William Sophia,https://www.linkedin.com/lyndonjohnson,36_lyndon_johnson.jpg
Richard Nixon ,richard.nixon@gmail.com,Dr. James Amelia,https://www.linkedin.com/richardnixon,37_richard_nixon.jpg
Gerald Ford ,gerald.ford@gmail.com,Dr. Benjamin Isabella,https://www.linkedin.com/geraldford,38_gerald_ford.jpg
Jimmy Carter ,jimmy.carter@gmail.com,Dr. Lucas Mia,https://www.linkedin.com/jimmycarter,39_jimmy_carter.jpg
Ronald Reagan ,ronald.reagan@gmail.com,Dr. Henry Evelyn,https://www.linkedin.com/ronaldreagan,40_ronald_reagan.jpg
George Hw Bush,george.hw@gmail.com,Dr. Alexander Harper,https://www.linkedin.com/georgehwbush,41_george_hw_bush.jpg
Bill Clinton ,bill.clinton@gmail.com,Dr. Liam Olivia,https://www.linkedin.com/billclinton,42_bill_clinton.jpg
George W Bush,george.w@gmail.com,Dr. Noah Emma,https://www.linkedin.com/georgewbush,43_george_w_bush.jpg
Barack Obama ,barack.obama@gmail.com,Dr. Oliver Ava,https://www.linkedin.com/barackobama,44_barack_obama.jpg
Donald Trump ,donald.trump@gmail.com,Dr. Elijah Charlotte,https://www.linkedin.com/donaldtrump,45_donald_trump.jpg
Joe Biden ,joe.biden@gmail.com,Dr. William Sophia,https://www.linkedin.com/joebiden,46_joe_biden.jpg
